id,name,price,today,diff price,diff percent,url,processor,screen,ram,hard drive,08/12/21,09/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21
125597,ASUS Zen AiO M5401WUAK-BA118T,1049990,949990,-100000,10,https://www.solotodo.cl/products/125597-asus-zen-aio-m5401wuak-ba118t,AMD Ryzen 7 5700U (1800 - 4300 MHz) (Octa-Core),"23.8"" FullHD (1920x1080)",8 GB,"HDD 1000 GB
SSD 256 GB",1149990,1149990,1149990,1149990,1149990,1149990,1149990,949990,949990,949990,949990,949990,949990,949990,949990
119794,Lenovo V50a-24IMB (i5-10400T / 8GB / 512GB SSD / W10P),1018561,929990,-88571,9,https://www.solotodo.cl/products/119794-lenovo-v50a-24imb-i5-10400t-8gb-512gb-ssd-w10p,Intel Core i5 10400T (2000 - 3600 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",8 GB,SSD 512 GB,929990,929990,1549990,929990,929990,929990,929990,929990,929990,929990,1549990,929990,929990,929990,929990
94144,"Apple iMac Retina 4K 21.5"" (MHK33CI/A)",1528886,1480686,-48200,3,https://www.solotodo.cl/products/94144-apple-imac-retina-4k-215-mhk33cia,Intel Core i5 8500 (3000 - 4100 MHz) (Six-Core),"21.5"" Retina 4K Display (4096x2304)",8 GB,SSD 256 GB,1599990,1599990,1510169,1510169,1513459,1524166,1515479,1510169,1552340,1513705,1513705,1513655,1513705,1513705,1480686
124408,Lenovo Ideacentre AIO 5 24IMB05 (F0FB0083CL),824990,799990,-25000,3,https://www.solotodo.cl/products/124408-lenovo-ideacentre-aio-5-24imb05-f0fb0083cl,Intel Core i5 10400T (2000 - 3600 MHz) (Six-Core),"23.8"" Táctil FullHD (1920x1080)",12 GB,"HDD 1000 GB
SSD 256 GB",849990,849990,849990,849990,849990,849990,849990,799990,799990,799990,799990,799990,799990,799990,799990
111513,ASUS ExpertCenter E2 E241EAK-BA059R (90PT02T2-M06020),914277,895992,-18285,2,https://www.solotodo.cl/products/111513-asus-expertcenter-e2-e241eak-ba059r-90pt02t2-m06020,Intel Core i5 1135G7 (2400 - 4200 MHz) (Quad-core),"23.8"" FullHD (1920x1080)",8 GB,SSD 256 GB,959990,959990,959990,959990,895992,895992,895992,895992,895992,895992,895992,895992,895992,895992,895992
115603,"Apple iMac Retina 4.5K 24"" (MGPD3CI/A)",1724990,1699990,-25000,1,https://www.solotodo.cl/products/115603-apple-imac-retina-45k-24-mgpd3cia,Apple M-Series M1 (3200 - 3200 MHz) (Octa-Core),"23.5"" 4.5K Retina Display (4480x2520)",8 GB,SSD 512 GB,1699990,1699990,1749990,1749990,1749990,1749990,1749990,,,,,1699990,1699990,1699990,1699990
123185,HP ProOne 400 G6 (436L3LS),1259957,1246363,-13594,1,https://www.solotodo.cl/products/123185-hp-proone-400-g6-436l3ls,Intel Core i5 10500 (3100 - 4500 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",8 GB,SSD 256 GB,1279790,1279790,,,1298990,1249079,1246363,1246363,1287290,1246363,1246363,1246363,1246363,1246363,1246363
126694,HP ProOne 400 G6 (43D09LS),1005525,995541,-9984,1,https://www.solotodo.cl/products/126694-hp-proone-400-g6-43d09ls,Intel Core i5 10500 (3100 - 4500 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",8 GB,SSD 512 GB,997710,997710,995541,995541,997710,1080416,995541,995541,1043940,995541,995541,995541,995541,995541,995541
115210,ASUS Zen AiO A5401WRPK-WA011T,927847,919990,-7857,1,https://www.solotodo.cl/products/115210-asus-zen-aio-a5401wrpk-wa011t,Intel Core i5 10500T (2300 - 3800 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",8 GB,"HDD 1000 GB
SSD 256 GB",929990,929990,929990,929990,929990,929990,929990,929990,929990,929990,929990,919990,919990,919990,919990
114451,"Apple iMac Retina 4.5K 24"" (MJVA3CI/A)",1258764,1249990,-8774,1,https://www.solotodo.cl/products/114451-apple-imac-retina-45k-24-mjva3cia,Apple M-Series M1 (3200 - 3200 MHz) (Octa-Core),"23.5"" 4.5K Retina Display (4480x2520)",8 GB,SSD 256 GB,1260030,1260030,1260030,1260030,1260030,1256190,1260030,1260030,1260030,1260030,1260030,1260030,1256190,1249990,1249990
