id,name,type,price,today,diff price,diff percent,screen,size,hearth rate,waterproof,conectividad,url,23/11/21,24/11/21,25/11/21,26/11/21,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,12/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
88317,Apple Watch 6 44mm (GPS + Cellular / Sport Band / Space Gray) [MG2E3BE/A],Smartwatch,552680,379990,-172690,31,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88317-apple-watch-6-44mm-gps-cellular-sport-band-space-gray-mg2e3bea,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,729990,729990,729990,729990,729990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,499990,499990,499990,499990,559990,559990,499990,499990,,,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,,499990,499990,499990,499990,499990,499990,399990,399990,399990,399990,499990,499990,499990,499990,499990,499990,499990,499990,599990,599990,459990,459990,459990,459990,399990,399990,399990,399990,399990,379990,379990,599990,599990,,399990,399990,399990,399990,499990,399990,,,499990,499990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,369990,369990,369990,369990,369990,369990,369990,379990,379990,379990
69131,Apple Watch 5 40mm - Silver (MWV62CI/A),Smartwatch,404742,285990,-118752,29,"OLED 1,6"" táctil (324x394 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/69131-apple-watch-5-40mm-silver-mwv62cia,379990,379990,399990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,399990,399990,399990,399990,399990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,329990,329990,329990,,,,,329990,329990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285990,285990
125622,Apple Watch SE 44mm (GPS + Cellular / Sport Band / Space Gray / Midnight),Smartwatch,347773,269990,-77783,22,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
GSM
LTE
NFC
Wi-Fi",https://www.solotodo.cl/products/125622-apple-watch-se-44mm-gps-cellular-sport-band-space-gray-midnight,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,,,,,,,,,,,,369990,,,,,,,,,,,,,,,,,414990,414990,414990,414990,414990,414990,414990,414990,414990,414990,414990,414990,414990,414990,414990,389990,389990,389990,,389990,389990,389990,389990,,,389990,389990,389990,389990,389990,389990,389990,,389990,389990,,359990,359990,359990,359990,359990,359990,299990,299990,299990,299990,299990,359990,359990,359990,359990,359990,359990,359990,359990,359990,359990,359990,,359990,359990,359990,,,359990,359990,359990,359990,359990,369990,369990,369990,369990,369990,,369990,349990,349990,349990,349990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,279990,279990,279990,249990,249990,249990,249990,249990,249990,249990,269990,269990,269990
125619,Apple Watch SE 40mm (GPS + Cellular / Sport Band / Space Gray / Midnight),Smartwatch,320460,249990,-70470,22,"Retina LTPO OLED 1,6"" táctil (324x394 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
GSM
LTE
NFC
Wi-Fi",https://www.solotodo.cl/products/125619-apple-watch-se-40mm-gps-cellular-sport-band-space-gray-midnight,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,,,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,279990,279990,279990,279990,279990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,279990,329990,329990,329990,329990,329990,329990,329990,329990,329990,279990,279990,279990,279990,279990,279990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990
88318,Apple Watch 6 44mm (GPS + Cellular / Sport Band / Silver) [MG2C3BE/A],Smartwatch,476457,389990,-86467,18,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88318-apple-watch-6-44mm-gps-cellular-sport-band-silver-mg2c3bea,529990,529990,399990,529990,529990,529990,529990,529990,529990,529990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,529990,519990,519990,519990,519990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,419990,419990,419990,419990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,399990,399990,399990,399990,399990,,399990,399990,399990,399990,499990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,389990,389990,499990,389990,379990,379990,379990,379990,379990,389990,389990,389990
90287,Apple Watch 6 40mm (GPS + Cellular / Sport Band / Silver) [M06M3BE/A],Smartwatch,455123,374990,-80133,18,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/90287-apple-watch-6-40mm-gps-cellular-sport-band-silver-m06m3bea,479990,499990,499990,499990,459990,459990,459990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,489990,489990,439990,489990,489990,489990,489990,489990,489990,489990,489990,479990,479990,479990,479990,479990,479990,469990,469990,469990,469990,469990,469990,419990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,398990,398990,398990,398990,374990,374990,374990,374990,374990,374990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,452990,452990,452990,452990,452990,452990,452990,452990,,379990,379990,379990,379990,449990,379990,379990,379990,379990,374990,374990,374990,374990,374990,374990,374990,374990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,439990,374990,374990,374990,374990,374990
88106,Apple Watch 6 40mm (GPS Only / Sport Band / Pink Sand) [MG123BE/A],Smartwatch,674352,599990,-74362,11,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88106-apple-watch-6-40mm-gps-only-sport-band-pink-sand-mg123bea,369990,369990,,699990,699990,699990,699990,699990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,399990,399990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,669990,,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,669990,659990,659990,659990,659990,659990,659990,659990,659990,659990,599990,599990,599990,599990,599990,599990
88110,Apple Watch 6 40mm (GPS Only / Sport Band / Product RED) [M00A3BE/A],Smartwatch,381443,339990,-41453,11,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88110-apple-watch-6-40mm-gps-only-sport-band-product-red-m00a3bea,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,399990,399990,399990,399990,399990,399990,399990,359990,359990,359990,359990,359990,359990,359990,359990,359990,359990,359990,359990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,379990,379990,379990,379990,379990,379990,379990,399990,417090,417090,417090,417090,417090,417090,417090,417090,417090,417090,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,417090,369990,369990,369990,369990,417090,417090,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,369990,339990,339990,339990,417090,339990,329990,329990,329990,329990,329990,339990,339990,339990
124732,Apple Watch SE 44mm (GPS Only / Sport Band / Silver / Abyss Blue),Smartwatch,322784,289990,-32794,10,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/124732-apple-watch-se-44mm-gps-only-sport-band-silver-abyss-blue,319990,319990,319990,319990,319990,319990,319990,319990,299990,299990,299990,299990,299990,299990,299990,299990,299990,369990,369990,369990,369990,369990,369990,369990,369990,369990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,299990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,319990,319990,319990,319990,319990,329990,329990,329990,329990,329990,329990,329990,319990,319990,299990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,341088,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,304990,327500,327500,304990,304990,304990,304990,289990,289990,289990,289990,289990,289990,289990,289990,289990,313418,313418,313418,313418,313418,313418,313418,313418,313418,327500,327500,313418,313418,313418,313418,313418,313418,313418,313418,313418,313418,318494,318494,318822,318822,318822,318822,318494,289990,289990,289990,324990,324990,324990,324990,324990,324990,349990,389900,389900,289990
125620,Apple Watch SE 44mm (GPS Only / Sport Band / Space Gray / Midnight),Smartwatch,316492,289990,-26502,8,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/125620-apple-watch-se-44mm-gps-only-sport-band-space-gray-midnight,349990,349990,349990,349990,359990,359990,359990,359990,359990,359990,,339990,,339990,339990,339990,339990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,339990,339990,339990,349990,349990,349990,349990,349990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,319990,319990,319990,319990,310190,310190,310190,310190,310190,310190,310190,313390,313390,313390,316790,316790,316790,316790,319990,319990,319990,319990,319990,319990,319990,309990,309990,309990,309990,309990,309990,309990,309990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,309990,289990,249990,309990,309990,309990,309990,309990,279990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,299990,299990,299990,299990,299990,299990,299990,289990,289990,289990,289990,289990,289990,319990,319990,289990
