id,name,model,price,today,diff price,diff percent,capacity,format,bundle,url,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
125237,Nintendo Game and Watch The Legend of Zelda,Nintendo Game and Watch The Legend of Zelda,56542,44990,-11552,20,"0,0 GB",Portátil,No posee,https://www.solotodo.cl/products/125237-nintendo-game-and-watch-the-legend-of-zelda,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,59990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,58990,51990,51990,51990,51990,51990,51990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,57990,57990,57990,57990,57990,57990,57990,49990,49990,49990,49990,49990,49990,59990,59990,49990,49990,49990,49990,49990,49990,49990,49990,49990,59990,49990,49990,59990,44990,44990,44990,59990,59990,44990,44990,44990,44990
99241,Sony PlayStation 5 (Blu-Ray / Glacier White) + Control Adicional,Sony PlayStation 5,859168,749990,-109178,13,825 GB,Sobremesa,Control Adicional,https://www.solotodo.cl/products/99241-sony-playstation-5-blu-ray-glacier-white-control-adicional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,,919990,919990,899990,879990,879990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,,,,,,,,,,,,,,,,,,,,,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990
127948,Sony PlayStation 5 (Blu-Ray / Glacier White) + Battlefield 2042,Sony PlayStation 5,1013358,889990,-123368,12,825 GB,Sobremesa,Battlefield 2042,https://www.solotodo.cl/products/127948-sony-playstation-5-blu-ray-glacier-white-battlefield-2042,,,,,,,,,,,1149990,,,,,1159990,1159990,1159990,1159990,1159990,1159990,1159990,1159990,1159990,,,,1159990,1159990,1199990,1199990,1199990,1149990,1149990,1149990,1199990,1199990,1199990,1199990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1059990,1059990,1059990,1059990,1099990,1099990,1099990,1099990,1099990,999990,999990,,999990,999990,989990,989990,989990,999990,999990,999990,999990,999990,999990,999990,,,,,,,,,,999990,999990,999990,,999990,999990,,,999990,999990,,929990,,929990,899990,889990,889990,,,889990,,889990,889990,889990,,,,889990,889990,889990,,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990,889990
82150,Sony PlayStation 5 (Blu-Ray / Glacier White),Sony PlayStation 5,788252,699990,-88262,11,825 GB,Sobremesa,No posee,https://www.solotodo.cl/products/82150-sony-playstation-5-blu-ray-glacier-white,899990,899990,899990,949990,949990,949990,839990,949990,899990,899990,899990,899990,899990,899990,839990,879990,879990,949000,949000,949000,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,849990,849990,649990,649990,649990,649990,649990,649990,649990,849990,899990,899990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,775990,775990,799990,799990,775990,775990,775990,827900,827900,819990,819990,729990,729990,802990,729990,802990,729990,,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,699990,709990,709990,729990,699990,699990,699990,729990,729990,699990,729990,699990,729990,709990,709990,709990,709990,709990,709990,729990,729990,729990,729990,719990,709990,709990,709990,709990,709990,709990,709990,709990,709990,699990,689990,689990,689990,689990,699990
122467,Nintendo Switch OLED Neon,Nintendo Switch OLED Neon,444683,399990,-44693,10,64 GB,Híbrida (Portátil y Sobremesa),No posee,https://www.solotodo.cl/products/122467-nintendo-switch-oled-neon,459990,459990,459990,459990,459990,459990,459990,459990,459990,459990,459990,459990,459990,,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,,459990,459990,,,,,,,519990,,519990,519990,519990,519990,519990,519990,539990,539990,539990,539990,539990,539990,539990,539990,539990,539990,499990,499990,499990,499990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,469900,469900,469900,469900,469900,469900,438990,438990,438990,438990,438990,438990,,439990,439990,439990,439990,419900,419900,419900,418990,419900,409990,409990,409990,414900,414900,429990,429990,409990,409990,409990,409990,429990,429990,429990,429990,429990,399990,399990,399990,399990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,399990,379990,399990,399990,399990,379990,379990,409990,399990,399990
87689,Sony PlayStation 5 (All-Digital / Glacier White),Sony PlayStation 5,744290,669990,-74300,10,825 GB,Sobremesa,No posee,https://www.solotodo.cl/products/87689-sony-playstation-5-all-digital-glacier-white,829990,829990,829990,829990,829990,829990,779990,829990,829990,829990,799900,829990,829990,829990,829990,829990,829990,829990,829990,829990,829990,884990,779990,879990,779990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,879990,830990,729990,830990,729990,779990,899990,829990,829990,829990,829990,829990,749990,749990,749990,749990,749990,749990,749990,749990,729990,779990,779990,749990,729990,729990,729990,729990,729990,739900,739900,739900,739900,739900,739900,739900,739900,739900,739900,739900,739900,739900,737990,737990,737990,737990,737990,737990,,729990,729990,729990,729990,699990,519990,579990,579990,559990,579990,729990,729990,729990,729990,579990,699990,699990,699990,699990,698990,698990,669990,660000,649999,649999,649999,649999,649999,649999,649999,649999,650000,599990,650000,650000,650000,599990,599990,639990,640000,559990,640000,640000,559990,640000,669990,669990,669990,669990,669990
122468,Nintendo Switch OLED White,Nintendo Switch OLED White,418656,379900,-38756,9,64 GB,Híbrida (Portátil y Sobremesa),No posee,https://www.solotodo.cl/products/122468-nintendo-switch-oled-white,459900,459900,459900,459900,459900,459900,459900,459900,459900,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,459900,459900,459900,459900,459900,459900,409990,459900,409990,409990,444990,439990,444990,444990,444990,409990,419990,409990,409990,409990,399000,395000,395000,395000,419990,419990,399990,395000,395000,395000,395000,395000,419990,419990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,439990,439990,439990,444990,444990,444990,444990,444990,444990,444990,419990,419990,419990,419990,419990,419990,419990,419990,419990,419990,429990,429990,419990,419990,419900,419900,419900,419900,418990,418990,418990,399990,394900,394900,394900,389900,389900,389900,389900,389900,389900,389900,389900,389900,389900,389900,389900,389900,389900,379990,379990,379990,379900,379900,379900,379900,379900,379900,379900,379900,379900,379900,379900,379900,379900,379900,379900,379900,379900,379900
90860,Microsoft Xbox Series X,Microsoft Xbox Series X,708986,649990,-58996,8,1000 GB,Sobremesa,No posee,https://www.solotodo.cl/products/90860-microsoft-xbox-series-x,789990,789990,789990,609990,769990,789990,789990,789990,789990,789990,789990,789990,789990,749000,749000,749000,749000,749000,749000,749000,749000,749000,799990,799990,789990,789990,789990,,789990,789990,789990,789990,789990,789990,789990,789990,550990,550990,550990,550990,550990,550990,550990,754990,754990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,599990,789990,789990,789990,789990,789990,789990,789990,789990,599990,599990,599990,599990,599990,599990,599900,599900,579900,599990,599990,599990,,699980,699980,699980,699980,599990,599990,599990,599990,699980,649990,699980,699980,699980,699980,599990,699980,699980,699980,599990,699980,679980,679980,679980,679980,679980,679980,679980,679980,679980,679980,679980,679980,679980,679980,679980,679980,679980,679980,699980,699980,670000,670000,670000,599990,599990,649990,649990,649980,649980,649990
110878,Nintendo Switch Lite Blue,Nintendo Switch Lite Blue,212041,195000,-17041,8,32 GB,Portátil,No posee,https://www.solotodo.cl/products/110878-nintendo-switch-lite-blue,209990,209990,209990,209990,209990,209990,199990,199990,199990,199990,199990,199990,209990,209990,209990,199990,199990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,219990,219990,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,218240,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,209990,218240,218240,199990,199990,199990,199990,209990,218240,218240,218240,218240,199990,218240,218240,199990,199990,199990,209990,199990,209990,195000,195000,195000
113664,Nintendo Game and Watch Super Mario Bros.,Nintendo Game and Watch Super Mario Bros.,64990,59990,-5000,8,"0,0 GB",Portátil,No posee,https://www.solotodo.cl/products/113664-nintendo-game-and-watch-super-mario-bros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69990,69990,69990,,,,,,,,,,,,,,,,,,,,,,,,59990,59990,59990,59990
