id,name,price,today,diff price,diff percent,url,type,hz,size driver,microphone,connection,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21
118147,JBL Tune 750BTNC - Black (JBLT750BTNCBLKAM),53990,44990,-9000,17,https://www.solotodo.cl/products/118147-jbl-tune-750btnc-black-jblt750btncblkam,Over-Ear / Headset,20 - 20000 Hz.,40 mm.,Montado (invisible),"3.5 mm.
Bluetooth",89990,44990,44990,44990,44990
83652,Sennheiser Momentum 3 Wireless - Blanco (508235),323314,269990,-53324,16,https://www.solotodo.cl/products/83652-sennheiser-momentum-3-wireless-blanco-508235,Over-Ear / Headset,6 - 22000 Hz.,,Montado (invisible),Bluetooth,363300,363300,349990,269990,269990
88685,JBL T750BTNC - White (JBLT750BTNCWHTAM),49990,44990,-5000,10,https://www.solotodo.cl/products/88685-jbl-t750btnc-white-jblt750btncwhtam,Over-Ear / Headset,20 - 20000 Hz.,40 mm.,Sin micrófono,"3.5 mm.
Bluetooth",69990,44990,44990,44990,44990
84875,Beats Studio3 Wireless Over-Ear - Matte Black (MX3X2LL/A),163990,149990,-14000,9,https://www.solotodo.cl/products/84875-beats-studio3-wireless-over-ear-matte-black-mx3x2lla,Over-Ear / Headset,,,Montado (invisible),"3.5 mm.
Bluetooth",219990,149990,149990,149990,149990
84863,Beats Studio3 Wireless Over-Ear - White (MX3Y2LL/A),163990,149990,-14000,9,https://www.solotodo.cl/products/84863-beats-studio3-wireless-over-ear-white-mx3y2lla,Over-Ear / Headset,,,Montado (invisible),"3.5 mm.
Bluetooth",219990,149990,149990,149990,149990
84860,Sony WH-1000XM4 Wireless Noise-Canceling Headphone - Gris (WH-1000XM4/SMUC),217990,199990,-18000,8,https://www.solotodo.cl/products/84860-sony-wh-1000xm4-wireless-noise-canceling-headphone-gris-wh-1000xm4smuc,Over-Ear / Headset,4 - 40000 Hz.,,Montado (invisible),"3.5 mm.
Bluetooth",229990,229990,229990,199990,199990
84866,Beats Studio3 Wireless Over-Ear - Blue (MX402LL/A),159490,149990,-9500,6,https://www.solotodo.cl/products/84866-beats-studio3-wireless-over-ear-blue-mx402lla,Over-Ear / Headset,,,Montado (invisible),"3.5 mm.
Bluetooth",197490,149990,149990,149990,149990
119491,Sony WH-1000XM4 Wireless Noise-Canceling Headphone - Azul (WH1000XM4/L),211990,199990,-12000,6,https://www.solotodo.cl/products/119491-sony-wh-1000xm4-wireless-noise-canceling-headphone-azul-wh1000xm4l,Over-Ear / Headset,4 - 40000 Hz.,40 mm.,Montado (invisible),"3.5 mm.
Bluetooth
NFC",219990,219990,219990,199990,199990
53494,JBL Tune 600BTNC - White (JBLT600BTNCWHT),41990,39990,-2000,5,https://www.solotodo.cl/products/53494-jbl-tune-600btnc-white-jblt600btncwht,Over-Ear / Headset,20 - 20000 Hz.,32 mm.,Sin micrófono,"3.5 mm.
Bluetooth",49990,39990,39990,39990,39990
84881,Beats Solo Pro - Negro (MRJ62BE/A),187530,179990,-7540,4,https://www.solotodo.cl/products/84881-beats-solo-pro-negro-mrj62bea,Over-Ear / Headset,,,Montado (invisible),Bluetooth,217690,179990,179990,179990,179990
84880,Beats Solo Pro - Gris (MRJ82BE/A),187530,179990,-7540,4,https://www.solotodo.cl/products/84880-beats-solo-pro-gris-mrj82bea,Over-Ear / Headset,,,Montado (invisible),Bluetooth,217690,179990,179990,179990,179990
118543,Beats Studio Buds - White (MJ4Y3BE/A),103990,99990,-4000,4,https://www.solotodo.cl/products/118543-beats-studio-buds-white-mj4y3bea,Earbuds,,,Montado (invisible),Bluetooth,119990,99990,99990,99990,99990
118544,Beats Studio Buds - Black (MJ4X3BE/A),103990,99990,-4000,4,https://www.solotodo.cl/products/118544-beats-studio-buds-black-mj4x3bea,Earbuds,,,Montado (invisible),Bluetooth,119990,99990,99990,99990,99990
118541,Beats Studio Buds - Beats Red (MJ503BE/A),103990,99990,-4000,4,https://www.solotodo.cl/products/118541-beats-studio-buds-beats-red-mj503bea,Earbuds,,,Montado (invisible),Bluetooth,119990,99990,99990,99990,99990
84695,Sony WH-1000XM4 Wireless Noise-Canceling Headphone - Negro (WH-1000XM4/BMUC),203990,199990,-4000,2,https://www.solotodo.cl/products/84695-sony-wh-1000xm4-wireless-noise-canceling-headphone-negro-wh-1000xm4bmuc,Over-Ear / Headset,4 - 40000 Hz.,,Montado (invisible),"3.5 mm.
Bluetooth
NFC",219990,199990,199990,199990,199990
75039,Sony WH-H910N h.ear on 3 Wireless Noise Cancelling Headphones - Negro,141990,139990,-2000,1,https://www.solotodo.cl/products/75039-sony-wh-h910n-hear-on-3-wireless-noise-cancelling-headphones-negro,Over-Ear / Headset,5 - 40000 Hz.,25 mm.,Montado (invisible),"3.5 mm.
Bluetooth
NFC
USB C",149990,139990,139990,139990,139990
118009,Samsung Galaxy Buds2 - White (SM-R177NZWALTA),124990,124990,0,0,https://www.solotodo.cl/products/118009-samsung-galaxy-buds2-white-sm-r177nzwalta,True Wireless,,,Montado (invisible),Bluetooth,124990,124990,124990,124990,124990
87380,Samsung Galaxy Buds Live - Mystic Blue (SM-R180NZBALTA),139990,139990,0,0,https://www.solotodo.cl/products/87380-samsung-galaxy-buds-live-mystic-blue-sm-r180nzbalta,True Wireless,20 - 20000 Hz.,12 mm.,Montado (invisible),Bluetooth,139990,139990,139990,139990,139990
85746,Sony WH-CH710N Wireless Noise-Canceling Headphones - White (WH-CH710N),59990,59990,0,0,https://www.solotodo.cl/products/85746-sony-wh-ch710n-wireless-noise-canceling-headphones-white-wh-ch710n,Over-Ear / Headset,7 - 20000 Hz.,30 mm.,Montado (invisible),"3.5 mm.
Bluetooth
NFC",59990,59990,59990,59990,59990
88981,JBL T750BTNC - Blue (JBLT750BTNCBLUAM),74990,74990,0,0,https://www.solotodo.cl/products/88981-jbl-t750btnc-blue-jblt750btncbluam,Over-Ear / Headset,20 - 20000 Hz.,40 mm.,Sin micrófono,"3.5 mm.
Bluetooth",74990,74990,74990,74990,74990
85420,Sennheiser HD 450 - Negro,135954,135954,0,0,https://www.solotodo.cl/products/85420-sennheiser-hd-450-negro,Over-Ear / Headset,18 - 22000 Hz.,,Montado (invisible),Bluetooth,135954,135954,135954,135954,135954
70879,Skullcandy Push True Wireless Earbuds - Indigo,87990,87990,0,0,https://www.solotodo.cl/products/70879-skullcandy-push-true-wireless-earbuds-indigo,True Wireless,20 - 20000 Hz.,9.2 mm.,Montado (invisible),Bluetooth,87990,87990,87990,87990,87990
