id,name,price,today,diff price,diff percent,type,watts,m2,m3,url,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,23/05/22
62403,Bosca Hera+ (Gris),838549,769990,-68559,8,Estufa a Pellet,9000 W.,120 m2,Desconocido,https://www.solotodo.cl/products/62403-bosca-hera-gris,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,839990,849990,849990,849990,849990,849990,849990,849990,856990,,,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,829990,829990,829990,829990,829990,829990,829990,829990,829990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,849990,,849990,849990,769990,769990,769990
38324,Toyotomi PS-7500 (White),1087292,999990,-87302,8,Estufa a Pellet,7300 W.,120 m2,Desconocido,https://www.solotodo.cl/products/38324-toyotomi-ps-7500-white,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,999990,999990,999990,999990,999990,999990,999990,999990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,,,,,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990
72654,Albin Trotter AT-ZL PM08 Rojo,1053034,999990,-53044,5,Estufa a Pellet,8000 W.,140 m2,Desconocido,https://www.solotodo.cl/products/72654-albin-trotter-at-zl-pm08-rojo,864990,864990,864990,864990,864990,864990,864990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137990,1137990,1137990,1137990,933990,933990,933990,933990,933990,933990,933990,933990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,933990,933990,933990,933990,933990,933990,933990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,1137990,999990,999990,999990,999990,999990,999990,999990,1137990,1137990,1137990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990
122815,Alcazar P1800 (negro),1142298,1119990,-22308,2,Estufa a Pellet,7000 W.,Desconocido,Desconocido,https://www.solotodo.cl/products/122815-alcazar-p1800-negro,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990,1119990
61820,Amesti Italy 8100 (Rojo),913118,899990,-13128,1,Estufa a Pellet,8550 W.,154 m2,Desconocido,https://www.solotodo.cl/products/61820-amesti-italy-8100-rojo,966990,966990,966990,966990,966990,966990,966990,966990,966990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967990,967990,967990,967990,899900,899900,899900,899900,899900,899900,899900,967990,967990,967990,967990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899900,899900,899990,899990,899990,899990,899990,899990,899990,899990,899990,899900,899900,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,,,,,899990,899990,899990,899990,899900,899900,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899900,899900,899900,909990,899900,899900,899900,899990
62420,Yunque Alaska 850 (Burdeo),1164990,1164990,0,0,Estufa a Pellet,8700 W.,150 m2,Desconocido,https://www.solotodo.cl/products/62420-yunque-alaska-850-burdeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164990,1164990,1164990,1164990,1164990,1164990
63486,BetterLife NB-PSC,983990,999990,16000,-2,Estufa a Pellet,6200 W.,100 m2,Desconocido,https://www.solotodo.cl/products/63486-betterlife-nb-psc,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,869990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990
81349,Bosca Hera+ (Rojo),841579,859990,18411,-2,Estufa a Pellet,9000 W.,120 m2,Desconocido,https://www.solotodo.cl/products/81349-bosca-hera-rojo,769990,769990,769990,769990,769990,769990,769990,769990,769990,769990,809990,809990,809990,809990,809990,809990,809990,809990,809990,799990,799990,799990,799990,799990,809990,809990,809990,809990,,799990,799990,849990,849990,849990,849990,809990,809990,809990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,,859990,859990,859990,859990,,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,,,859990,859990,859990,859990,,,859990,,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,859990,,,,,,,,,,,,,,,,859990,859990,859990,859990,859990,859990,859990,859990,859990,869990,869990,869990,899990,899990,899990,899990,859990
109665,Bosca Mila 6,782307,819990,37683,-5,Estufa a Pellet,6000 W.,100 m2,Desconocido,https://www.solotodo.cl/products/109665-bosca-mila-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,779990,,,779990,779990,779990,779990,789990,789990,789990,819990,819990,819990,819990,819990
61818,Amesti Italy 6100 (Rojo),739290,809990,70700,-10,Estufa a Pellet,6600 W.,118 m2,Desconocido,https://www.solotodo.cl/products/61818-amesti-italy-6100-rojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799990,799990,799990,799990,799990,799990,,,799990,799990,799990,799990,,,799990,,799990,799990,799990,799990,799990,799990,799990,699900,799990,699900,699900,699900,699900,799990,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,699900,809990,809990,809990,809990,809990
