id,name,price,today,diff price,diff percent,url,size,resolution,ms,hz,g-sync,freesync,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,12/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
108773,Viewsonic VG2748,313946,199990,-113956,36,https://www.solotodo.cl/products/108773-viewsonic-vg2748,"27.0""",Full HD (1920x1080),5 ms,75 Hz,No,No,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,319990,319990,319990,,319990,319990,319990,319990,319990,319990,439900,439900,319990,399990,399990,399990,399990,399990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,399990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,399990,399990,399990,399990,399990,399990,199990,199990,199990,199990,199990,199990
118673,Aorus FI32Q-SA,804733,589900,-214833,27,https://www.solotodo.cl/products/118673-aorus-fi32q-sa,"32.0""",Quad HD (2560x1440),1 ms,165 Hz,No,Sí,932990,932990,932990,932990,932990,932990,932990,932990,932990,932990,932990,932990,,937990,937990,940490,940490,940490,940490,940490,940490,940490,940490,940490,940490,940490,940440,940440,907881,907881,907881,906900,906900,906900,906900,906880,906880,906900,814890,809990,805990,801478,772667,798314,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,,799900,799900,799900,799900,799900,,799900,799900,799900,799900,799800,799800,799800,799800,799800,799900,799900,799900,799900,799900,799900,799900,799900,799800,799800,799800,799900,799890,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,799900,719990,719990,787190,787190,787190,787190,787190,787190,787190,787190,747831,747831,747831,747831,747831,586494,584520,583538,747831,749900,749900,749900,592430,588799,590304,587700,587690,587000,586500,586490,586495,589900,589900,589900,589900,589900
35907,Viewsonic VP2771,405273,299990,-105283,26,https://www.solotodo.cl/products/35907-viewsonic-vp2771,"27.0""",Quad HD (2560x1440),7 ms,60 Hz,No,No,454990,454990,454990,449990,449990,449990,449990,449990,449990,449990,449990,449990,,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,424992,424992,424992,424992,424992,424992,424992,424992,424992,424992,424992,424992,424992,,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,423990,424992,424992,424992,424992,424992,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990
74137,ASUS TUF VG27AQ,405555,317990,-87565,22,https://www.solotodo.cl/products/74137-asus-tuf-vg27aq,"27.0""",Quad HD (2560x1440),1 ms,165 Hz,G-Sync Compatible,Sí,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,,429990,429990,429990,429990,415000,415000,415000,415000,415000,415000,415000,415000,415000,459990,459990,459990,459990,459990,457590,457590,449900,449900,449900,449900,449900,403290,402900,397956,385205,380313,386444,350990,419990,419980,418900,445900,445900,445890,445890,441771,428590,428580,428580,437890,437880,437880,437880,434718,434700,435040,435030,435010,434772,,433960,431742,431275,424860,424850,424850,424850,424850,424850,424000,423990,423970,423960,423940,423702,399090,399090,399000,398850,398840,398000,397990,397980,397970,395890,395890,394742,394000,393990,392900,391990,391990,391000,389977,388982,388980,392900,392000,392000,392000,392000,392000,392000,392000,392000,392900,392900,392900,392900,392900,392900,392900,392900,266588,265691,264900,276990,276990,392900,276990,392900,392900,392900,392900,392900,392900,392900,322400,320000,319970,319940,318510,318241,317990
78572,Viewsonic Elite XG270,418844,349990,-68854,16,https://www.solotodo.cl/products/78572-viewsonic-elite-xg270,"27.0""",Full HD (1920x1080),1 ms,240 Hz,G-Sync Compatible,Sí,439980,439980,439980,439980,439980,439980,439980,439980,439980,439980,439980,439980,,439970,439970,439970,439970,439970,439970,439970,439970,439970,439970,439970,439970,439970,439970,439970,439970,439970,439970,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,438990,399990,399990,399990,399990,399990,399990,399990,399990,,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,438990,438990,438990,438990,438990,438990,438990,438990,419892,419892,419892,419892,419892,419892,419892,419892,419892,419892,419892,419892,408990,408990,408990,408990,408990,408990,408990,408990,408990,408990,405072,399990,399990,399990,399990,399990,399990,399990,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,397662,349990,349990,349990,349990,349990,349990
89463,MSI Optix MAG273,321754,269000,-52754,16,https://www.solotodo.cl/products/89463-msi-optix-mag273,"27.0""",Full HD (1920x1080),1 ms,144 Hz,No,Sí,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,339000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000,269000
111380,Dell P2722H (210-BBCK),248035,207776,-40259,16,https://www.solotodo.cl/products/111380-dell-p2722h-210-bbck,"27.0""",Full HD (1920x1080),5 ms,60 Hz,No,No,256490,256490,256490,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,270892,249990,249990,249990,249990,249990,249990,249990,256490,256490,256490,256490,256490,256490,256490,256490,256490,256490,263000,263000,263000,263000,263000,263000,263000,261890,261890,261890,263000,265700,265700,268900,268880,268880,265456,263331,263610,263610,261990,268880,268880,268880,268880,268900,264990,264990,264970,264970,256279,257927,255260,253845,,254830,252462,251662,249881,249860,245488,245880,245880,245860,243352,244901,244500,244500,244400,244400,244000,244000,244000,244000,244000,244000,244000,244000,243305,241414,241414,241000,241000,240990,240990,240500,240500,240450,238584,238000,238000,240450,240450,240450,240450,240450,249990,218439,249990,249990,249990,249990,241990,241990,246990,246990,246990,246990,212204,211490,211135,213647,228608,275990,275990,269990,213426,213971,213608,213608,219315,216182,214703,214300,214300,213608,211985,211805,207776
83042,LG 32QN600-B,284873,243990,-40883,14,https://www.solotodo.cl/products/83042-lg-32qn600-b,"32.0""",Quad HD (2560x1440),5 ms,75 Hz,No,Sí,310800,310800,310800,310800,310790,310790,310790,299990,299990,299990,299890,299890,299890,289990,289990,289990,289990,289990,289990,289990,289990,289990,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299890,299880,299400,299390,299200,299180,299180,299200,299200,299200,299200,299200,299800,299800,299800,299800,299800,299800,299800,299800,299800,299800,299800,299800,,299800,299800,299800,299790,299790,299800,299800,299800,299800,286976,289408,289400,289400,289400,289400,289400,289400,289400,289400,289400,285900,285890,279900,279900,279900,279900,279900,279900,279900,279900,279900,279900,279900,279900,279900,279900,279900,279900,279900,285990,279900,285990,279900,279900,246240,246240,247060,249180,274990,255368,251642,251642,251404,245900,245700,245700,245700,245900,245900,245900,245900,245900,245900,245900,245900,244500,244500,248500,250500,250450,248600,246500,246320,243990
51980,Dell UltraSharp U3219Q,973080,834237,-138843,14,https://www.solotodo.cl/products/51980-dell-ultrasharp-u3219q,"31,5""",Ultra HD (3840x2160),8 ms,60 Hz,No,No,1086655,1086655,1086655,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,,1119256,1119256,,908337,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1119256,1098919,1098919,1098919,1098919,1098919,1098919,1098919,1098919,1098919,1098919,1098919,1098919,1098919,1098919,1098919,1098919,,1098919,1098919,1098919,1098919,1098919,,1098919,1098919,1098919,1098919,804662,825325,1098919,1098919,1098919,1063631,1063631,900500,835900,835900,819231,819000,815967,811692,811670,811670,807688,807670,807500,807500,803720,807240,807000,804732,798722,798700,795700,795680,791717,784668,782667,782699,782500,782500,782500,782500,782500,782500,819698,824703,810670,816202,819513,819513,817523,819513,823702,823702,835100,852016,849148,847723,857809,852016,852016,852016,862206,856922,859112,857651,857651,873720,867989,862051,861314,861314,857651,851134,850417,834237
74134,Dell UltraSharp U2720Q,691503,596625,-94878,14,https://www.solotodo.cl/products/74134-dell-ultrasharp-u2720q,"27.0""",Ultra HD (3840x2160),8 ms,60 Hz,No,No,686396,686396,686396,706989,706989,706989,706989,706989,706989,706989,706989,706989,,706989,706989,,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,706989,,,,,,,,694143,694143,694143,694143,694143,694143,694143,694143,694143,694143,694143,694143,,694143,694143,694143,694143,694143,,694143,694143,694143,694143,694143,694143,694143,694143,694143,671853,671853,671853,671853,671853,671853,671853,671853,671853,671853,671853,685292,685292,685292,685292,685292,685292,685292,685292,685292,685292,685292,685292,685292,685292,685292,685292,685292,670903,670903,670903,670903,670903,670903,670903,694045,694045,694045,694045,694045,694045,694045,694045,694045,694045,694045,694045,696059,696059,696059,696059,725291,725291,725291,725291,725291,725291,725291,735807,596625,596625,596625,596625,596625,596625
83851,LG 27QN880-B,358097,309820,-48277,13,https://www.solotodo.cl/products/83851-lg-27qn880-b,"27.0""",Quad HD (2560x1440),5 ms,60 Hz,No,Sí,384990,384990,384990,387786,383564,382990,380825,382990,382990,379997,382990,379604,,379500,373851,371274,373618,379500,379500,379500,379500,379500,379500,379500,379500,379500,379500,377292,377292,377292,377292,377292,377292,377292,377292,377292,377292,377292,325790,323990,320768,318551,306858,377292,377200,377100,377100,377080,377080,377100,377100,377100,377100,377100,377100,377100,377100,377100,377100,377100,379990,379990,370272,370272,370272,370272,,369664,369664,369664,369664,369664,369664,369664,369664,369664,369664,369664,369640,368090,368070,368070,349000,349000,349000,345791,345791,345791,345780,345791,345791,345791,345791,345791,345791,345791,344990,344990,344990,344990,344990,344990,344990,344990,344990,344990,339264,338191,338191,338191,338191,338191,338191,338191,338191,338191,338191,338191,338191,338191,338191,329990,329990,308684,328320,338191,338191,330141,330141,330141,330141,330141,330141,329990,329990,329990,328200,315500,312500,312100,309820
