id,name,price,today,diff price,diff percent,url,capacity,frecuency,volts,type,format,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22
84061,Crucial CT8G4SFS832A (1 x 8GB | SO-DIMM DDR4-3200),49771,36990,-12781,26,https://www.solotodo.cl/products/84061-crucial-ct8g4sfs832a-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,,,,,,,,,,,,,,,,,,,,,,,36990,36990,36990,36990,36990,36990,36990,36990,36990,36990
129310,Crucial CT2K16G4SFRA32A (2 x 16GB | SO-DIMM DDR4-3200),193990,149990,-44000,23,https://www.solotodo.cl/products/129310-crucial-ct2k16g4sfra32a-2-x-16gb-so-dimm-ddr4-3200,2 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,193990,149990
116556,Lexar LD4AS008G-R3200GSST (1 x 8GB | SO-DIMM DDR4-3200),40214,31190,-9024,22,https://www.solotodo.cl/products/116556-lexar-ld4as008g-r3200gsst-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,35264,35264,35264,35264,35264,35264,35264,35264,35264,31190,31190,31190,31190,31190,31190,31190,31190,31190,31190,31190,31190,31190
71646,Kingston HyperX Impact HX432S20IB2/8 (1 x 8GB | SO-DIMM DDR4-3200),50238,40000,-10238,20,https://www.solotodo.cl/products/71646-kingston-hyperx-impact-hx432s20ib28-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,41000,41000,41000,41000,41000,41000,41000,41000,59900,59900,59900,59900,59900,,59900,59900,59900,59900,41000,41000,41000,41000,41000,41000,41000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
126263,G.Skill Ripjaws F4-3200C18D-32GRS (2 x 16GB | SO-DIMM DDR4-3200),228140,189990,-38150,17,https://www.solotodo.cl/products/126263-gskill-ripjaws-f4-3200c18d-32grs-2-x-16gb-so-dimm-ddr4-3200,2 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,220990,220990,220990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220990,220990,220990,220990,231990,,,,231990,231990,231990,231990,231990,231990,231990,231990,231990,231990,231990,,,231990,189990
130319,Team T-Create Classic TTCCD464G3200HC22DC-S01 (2 x 32GB | SO-DIMM DDR4-3200),262990,219990,-43000,16,https://www.solotodo.cl/products/130319-team-t-create-classic-ttccd464g3200hc22dc-s01-2-x-32gb-so-dimm-ddr4-3200,2 x 32GB,3200 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262990,262990,262990,262990,262990,262990,262990,262990,262990,262990,262990,219990
124266,Corsair Vengeance CMSX32GX4M2A3000C18 (2 x 16GB | SO-DIMM DDR4-3000),185257,154990,-30267,16,https://www.solotodo.cl/products/124266-corsair-vengeance-cmsx32gx4m2a3000c18-2-x-16gb-so-dimm-ddr4-3000,2 x 16GB,3000 MHz,1.20 V,DDR4,SO-DIMM,182990,182990,182990,182990,182990,182990,182990,182990,,,,,,,,,,,,,,,,,,,,,,,,190990,190990,190990,190990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,194990,194990,194990,194990,194990,194990,154990
124271,Crucial Ballistix BL2K8G32C16S4B (2 x 8GB | SO-DIMM DDR4-3200),124990,104990,-20000,16,https://www.solotodo.cl/products/124271-crucial-ballistix-bl2k8g32c16s4b-2-x-8gb-so-dimm-ddr4-3200,2 x 8GB,3200 MHz,1.35 V,DDR4,SO-DIMM,148990,148990,148990,148990,148990,148990,148990,148990,,,,,,,,,,,,,,,,,,,,,,,,112990,112990,112990,112990,112990,112990,112990,112990,112990,112990,112990,112990,130990,130990,130990,130990,112990,112990,112990,112990,112990,112990,104990
129651,G.Skill Ripjaws F4-3200C22D-64GRS (2 x 32GB | SO-DIMM DDR4-3200),254990,214990,-40000,16,https://www.solotodo.cl/products/129651-gskill-ripjaws-f4-3200c22d-64grs-2-x-32gb-so-dimm-ddr4-3200,2 x 32GB,3200 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254990,254990,254990,254990,254990,254990,254990,254990,254990,254990,254990,254990,254990,254990,254990,254990,254990,254990,214990
124261,Corsair Vengeance CMSX32GX4M2A3200C22 (2 x 16GB | SO-DIMM DDR4-3200),186190,159990,-26200,14,https://www.solotodo.cl/products/124261-corsair-vengeance-cmsx32gx4m2a3200c22-2-x-16gb-so-dimm-ddr4-3200,2 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,183990,183990,183990,183990,183990,183990,183990,183990,,,,,,,,,,,,,,,,,,,,,,,,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,186990,159990
124268,Corsair Vengeance CMSX16GX4M2A3000C16 (2 x 8GB | SO-DIMM DDR4-3000),127190,109990,-17200,14,https://www.solotodo.cl/products/124268-corsair-vengeance-cmsx16gx4m2a3000c16-2-x-8gb-so-dimm-ddr4-3000,2 x 8GB,3000 MHz,1.20 V,DDR4,SO-DIMM,139990,139990,139990,139990,139990,139990,139990,139990,,,,,,,,,,,,,,,,,,,,,,,,130990,130990,130990,130990,114990,120990,120990,120990,120990,120990,120990,120990,120990,120990,120990,120990,120990,120990,120990,120990,120990,120990,109990
124273,Corsair Vengeance CMSX16GX4M2A3200C22 (2 x 8GB | SO-DIMM DDR4-3200),119805,104990,-14815,12,https://www.solotodo.cl/products/124273-corsair-vengeance-cmsx16gx4m2a3200c22-2-x-8gb-so-dimm-ddr4-3200,2 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,119990,119990,119990,119990,119990,119990,119990,119990,,,,,,,,,,,,,,,,,,,,,,,,119990,119990,119990,119990,114990,119990,119990,119990,119990,119990,119990,,,,119990,119990,119990,119990,119990,119990,119990,119990,104990
124272,Corsair Vengeance CMSX16GX4M2A2933C19 (2 x 8GB | SO-DIMM DDR4-2933),118290,104990,-13300,11,https://www.solotodo.cl/products/124272-corsair-vengeance-cmsx16gx4m2a2933c19-2-x-8gb-so-dimm-ddr4-2933,2 x 8GB,2933 MHz,1.20 V,DDR4,SO-DIMM,109990,109990,109990,109990,109990,109990,109990,109990,,,,,,,,,,,,,,,,,,,,,,,,112990,112990,112990,112990,108990,123990,123990,123990,123990,123990,123990,123990,123990,123990,123990,123990,123990,123990,123990,123990,123990,123990,104990
129652,G.Skill Ripjaws F4-3200C18D-16GRS (2 x 8GB | SO-DIMM DDR4-3200),134990,119990,-15000,11,https://www.solotodo.cl/products/129652-gskill-ripjaws-f4-3200c18d-16grs-2-x-8gb-so-dimm-ddr4-3200,2 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,119990
