id,name,price,today,diff price,diff percent,url,capacity,bus,format,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
65075,Kingston A2000 1 TB (SA2000M8/1000G),365700,109876,-255824,70,https://www.solotodo.cl/products/65075-kingston-a2000-1-tb-sa2000m81000g,1 TB,PCI Express 3.0,M.2,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,134990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,,,,,,,,,,,,,,,,105037,105037,105037,105037,105037,105037,105037,,,,,,,,,,,,,,,,113791,113791,113791,,,,,,,,,,,,,,,,,,,,,,,,,,10132990,10132990,118541,118541,109876,109876,109876
123931,Hikvision E3000 1 TB (HS-SSD-E3000/1024G),134442,102900,-31542,23,https://www.solotodo.cl/products/123931-hikvision-e3000-1-tb-hs-ssd-e30001024g,1 TB,PCI Express 3.0,M.2,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,106900,106900,106900,106900,106900,106900,106900,106900,102900,102900,102900,102900,102900,102900,102900,102900
56722,Samsung 970 Evo Plus 500 GB (MZ-V7S500B/AM),101684,79990,-21694,21,https://www.solotodo.cl/products/56722-samsung-970-evo-plus-500-gb-mz-v7s500bam,500 GB,PCI Express 3.0,M.2,99990,99990,99990,99990,99990,99990,99990,99990,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,122900,108990,108990,108990,108990,105990,105990,105990,105990,105990,105990,105990,105990,105990,105990,105990,105990,105990,105990,105990,105990,105990,98990,98990,98990,98990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104990,104000,104000,100000,100000,90000,90000,90000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,104990,85000,85000,85000,85000,85000,85000,85000,85000,104990,104990,104990,104990,104990,104990,122900,122900,122900,122900,122900,122900,122900,122900,99990,99990,94990,94990,89990,89990,89990,89990,84990,84990,84990,82990,82990,82990,82990,82990,82990,82990,82990,82990,82990,82990,79990,79990,79990,79990,79990,79990,79990,79990
55889,A-DATA XPG SX8200 Pro 1 TB (ASX8200PNP-1TT-C),124214,99990,-24224,20,https://www.solotodo.cl/products/55889-a-data-xpg-sx8200-pro-1-tb-asx8200pnp-1tt-c,1 TB,PCI Express 3.0,M.2,126800,126800,126800,126340,126340,126340,126340,126340,126340,126340,126340,126340,126340,126340,126340,126340,126340,117940,117940,117580,116820,116770,116770,116130,115990,113590,113540,113540,113540,113540,113540,110181,110050,110000,109524,108866,108850,108850,107944,107920,108733,107681,106610,105838,124990,124990,126340,126340,126340,126340,126744,126720,126720,126544,126520,126520,126520,126780,126780,126780,126800,126800,126800,126800,126800,126800,126800,126800,126800,126800,126800,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,115990,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,126600,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,144900,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990
140166,Toshiba XG6 512 GB (KXG6AZNV512G),66790,53990,-12800,19,https://www.solotodo.cl/products/140166-toshiba-xg6-512-gb-kxg6aznv512g,512 GB,PCIe 3.0 x4,M.2 (2280),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75990,74990,74990,53990,53990,53990
44725,Hikvision E100 512 GB (HS-SSD-E100I/512GB),67299,56114,-11185,17,https://www.solotodo.cl/products/44725-hikvision-e100-512-gb-hs-ssd-e100i512gb,512 GB,SATA 3 (6.0 Gb/s),"2.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52990,52990,52990,52990,85140,85140,85140,85140,85140,85140,85140,85140,85140,85140,85140,85140,85140,85140,85140,85140,85140,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114,56114
126917,Kingston FURY Renegade 2 TB (SFYRD/2000G),433449,365843,-67606,16,https://www.solotodo.cl/products/126917-kingston-fury-renegade-2-tb-sfyrd2000g,2 TB,PCI Express 4.0,M.2,,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,,,,,,,,529990,529990,529990,529990,529990,,,,,529990,529990,529990,529990,529990,529990,456560,449182,445163,436970,437338,437320,437082,434798,434780,434870,434870,434870,433690,433670,434870,434870,434870,434870,434870,434870,434870,434870,434870,444641,503121,503121,503121,503121,503121,503121,503121,366276,361313,358720,360430,360000,356395,353733,353000,352405,352405,347489,347489,348135,346617,346617,348000,347530,348000,348000,348000,364607,368061,360600,361417,362883,359498,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,357550,372801,372949,365843
125631,Kingston KC3000 4 TB (SKC3000D/4096G),1033304,921722,-111582,11,https://www.solotodo.cl/products/125631-kingston-kc3000-4-tb-skc3000d4096g,4 TB,PCI Express 4.0,M.2,1089486,1089486,1089486,1089486,1087167,1087117,1089536,1089486,1082240,1085888,1085838,1087054,1087054,1083456,1083390,1083390,1083390,1083390,1083390,1098606,1095008,1087104,1095666,1095666,1095666,1099890,1099652,1099600,1067748,1067700,1067700,1067700,1063392,1063340,1057920,1047670,1047670,1051820,1051602,1023690,1023690,1023690,1037100,1037100,1049970,1050970,1049990,1039100,1031460,1023231,1024380,1024380,1018090,1038370,1046820,1046820,1047970,1047970,1040092,1040070,1030110,1030930,1030930,1037952,1031790,1031770,1031770,1025218,1021970,1014740,1014720,1030128,1030110,1031760,1031760,1021162,1021140,1025218,1025200,1025200,1025200,1032580,1028486,1030951,1026034,1026010,1026010,1026010,1025740,1020696,1012990,1012990,1018046,1029644,1029620,1023242,1018100,1018100,1012997,1004032,1001470,1001535,1001535,1009272,1004032,1024522,1041171,1041150,1048855,1055258,1037310,1050120,1053978,1053960,1053960,1051400,1053978,1053978,1074467,943082,939908,938329,949495,943082,943082,950874,961982,975862,949217,947602,947602,967880,959024,952463,951650,951640,947602,940402,939609,921722
125630,Kingston KC3000 2 TB (SKC3000D/2048G),374472,334206,-40266,11,https://www.solotodo.cl/products/125630-kingston-kc3000-2-tb-skc3000d2048g,2 TB,PCI Express 4.0,M.2,430490,428490,428440,432490,431841,431791,431791,432732,424992,426816,426766,427131,427081,425600,425490,425490,425490,425440,425490,425440,425440,425252,425202,425202,425202,425202,425620,425382,419645,419600,419600,419362,427094,426856,424780,415290,415290,415290,415052,398890,398890,398890,403057,412224,411986,411970,412570,412970,412950,413650,400590,400570,396690,408390,408370,408370,408370,489990,489990,447440,447440,447440,447440,447440,447440,447440,447440,489990,338323,335929,330990,329567,330094,330094,330070,326699,328780,327996,330358,330358,330358,332219,322629,323427,323427,323427,321832,324225,325012,323379,320981,320981,322580,321380,321380,319382,317783,317783,316184,313386,312587,312604,312604,315014,313386,318360,324978,324978,332490,332490,322690,322690,322690,322690,323100,323100,323100,323100,326990,326990,326990,326990,326990,326990,326990,326990,326990,326990,326990,326990,326990,326990,326990,326990,334890,334890,334890,334890,338019,334206
124016,Western Digital Black SN850 500 GB (WDS500G1XHE),155169,139590,-15579,10,https://www.solotodo.cl/products/124016-western-digital-black-sn850-500-gb-wds500g1xhe,500 GB,PCI Express 4.0,M.2,208990,174990,174990,174990,174990,174990,174990,174990,249990,249990,249990,249990,249990,,,,,,,,,,,,,,,,,,,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,169990,169990,169990,169990,154990,154990,154990,154990,154990,154990,138900,137920,137760,137760,136900,135900,136900,134890,134900,138500,138500,142303,142303,140840,141500,141399,141500,141500,142418,142980,141849,141900,141511,141511,141511,141500,137394,136799,140500,140500,140500,135902,134886,134668,133999,133999,132112,132112,133152,131795,134368,134368,132173,134000,134000,134000,140448,138624,136493,138192,138695,138695,138727,138727,138990,138990,138990,138990,144990,139990,139990,139990,139990,139990,139990,144990,144990,144990,144990,144990,144990,144600,140421,140421,140421,139990,139990,139590
