id,name,type,brand,power,url,price,today,diff price,diff percent,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
120732,JBL Xtreme 3 - Negro,Parlante Portátil Bluetooth,JBL,25 W.,https://www.solotodo.cl/products/120732-jbl-xtreme-3-negro,989698,329990,-659708,67,281290,281290,281290,281290,281290,281290,281290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999999,9999999,9999999,9999999,9999999,9999999,399990,399990,,499990,,399990,399990,499990,499990,,499990,399990,399990,399990,399990,499990,499990,499990,499990,499990,,499990,499990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,339990,339990,339990,339990,339990,339990,338990,338990,338990,338990,338990,339990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,338990,339990,339990,339990,339990,334990,334990,329990,334990,329990,329990,329990,334990,329990,329990,329990,329990,329990
86755,Mackie Freeplay Live,Parlante Portátil Bluetooth,Mackie,150 W.,https://www.solotodo.cl/products/86755-mackie-freeplay-live,536453,399990,-136463,25,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,399990,399990,399990,739990,399990,399990,399990,399990,399990,,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990
65699,JBL Flip 5 - Verde,Parlante Portátil Bluetooth,JBL,20 W.,https://www.solotodo.cl/products/65699-jbl-flip-5-verde,111430,85990,-25440,23,89990,89990,89990,89990,89990,89990,89990,119990,89990,119990,119990,89990,119990,119990,119990,119990,119990,119990,119990,,,,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,139990,139990,139990,119990,119990,,149990,119990,119990,119990,119990,119990,149990,139990,139990,139990,139990,139990,139990,139990,,119990,119990,119990,119990,119990,139990,119990,119990,119990,119990,119990,119990,119990,139990,139990,119990,119990,119990,119990,119990,119990,139990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,,,94990,94990,89990,89990,89990,89990,89990,89990,89990,89990,89990,94990,89990,89990,89990,89990,89990,89990,89990,89990,89990,94990,89990,89990,89990,94990,99990,89990,89990,89990,89990,89990,89990,85990,85990,94990,85990,85990,85990,85990,85990,94990,85990,85990
102243,RCF AYRA PRO5,Parlante Tradicional,RCF,100 W.,https://www.solotodo.cl/products/102243-rcf-ayra-pro5,262803,207000,-55803,21,402990,402990,,402990,402990,402990,,402990,402990,402990,402990,402990,402990,402990,,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,402990,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,402990,207000,207000,402990,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000,207000
102242,RCF AYRA PRO6,Parlante Tradicional,RCF,120 W.,https://www.solotodo.cl/products/102242-rcf-ayra-pro6,322410,255000,-67410,21,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,,,495990,495990,,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,495990,,495990,495990,495990,495990,495990,495990,495990,495990,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,495990,255000,255000,495990,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000
88067,Mackie CR3-XBT,Parlante Tradicional,Mackie,50 W.,https://www.solotodo.cl/products/88067-mackie-cr3-xbt,148922,119990,-28932,19,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,299990,149990,149990,149990,149990,149990,299990,149990,149990,149990,149990,149990,149990,149990,149990,149990,149990,149990,149990,239990,239990,116990,116990,116990,149990,149990,299990,149990,139990,139990,139990,139990,116990,116990,116990,116990,116990,116990,149990,149990,149990,149990,149990,149990,116990,116990,116990,116990,116990,116990,116990,116990,116990,159990,159990,,159990,139990,139990,139990,139990,139990,116990,116990,116990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,124990,122990,122990,122990,122990,122990,122990,125990,125990,125990,125990,125990,125990,125990,125990,125990,125990,125990,139990,125990,125990,125990,125990,125990,125990,125990,125990,125990,125990,125990,125990,139990,139990,139990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990
53853,JBL Link 10 (JBLLINK10BLKUS),Parlante Portátil Bluetooth,JBL,16 W.,https://www.solotodo.cl/products/53853-jbl-link-10-jbllink10blkus,78176,63990,-14186,18,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,69990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,,,,,,79990,79990,79990,79990,79990,79990,79990,79990,79990,,79990,79990,79990,79990,,,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,69990,69990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990,63990
91460,JBL Bar 2.1 Deep Bass (JBL2GBAR21DBBLKAM),Soundbar,JBL,300 W.,https://www.solotodo.cl/products/91460-jbl-bar-21-deep-bass-jbl2gbar21dbblkam,242516,199990,-42526,18,206990,206990,206990,206990,206990,206990,206990,206990,206990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,,,,,,,,,,,199990,199990,,,,,,,,,,,,249990,249990,249990,,,,,,,,,,,,,,,,,,294900,249990,249990,249990,270367,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,270582,272510,272510,272510,272510,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,249990,265521,265521,249990,249990,249990,249990,249990,249990,249980,266730,266730,269980,269980,242990,269980,269980,269980,259990,259990,259990,259990,259990,225708,225708,239990,239990,239990,239990,239990,239990,239990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990
49200,JBL Flip 4 (Turquesa),Parlante Portátil Bluetooth,JBL,16 W.,https://www.solotodo.cl/products/49200-jbl-flip-4-turquesa,101479,84990,-16489,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99990,,,,,,,,,,119990,119990,119990,119990,119990,119990,119990,119990,119990,,,119990,119990,119990,119990,119990,99990,99990,,99990,99990,99990,,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,,99990,,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990,84990
65703,JBL Flip 5 - Arena,Parlante Portátil Bluetooth,JBL,20 W.,https://www.solotodo.cl/products/65703-jbl-flip-5-arena,106515,89990,-16525,16,86990,86990,86990,104990,104990,104990,88990,88990,88990,88990,88990,88990,88990,88990,88990,88990,88990,88990,88990,88990,88990,,,88990,88990,88990,88990,119990,88990,,119990,119990,119990,139990,139990,139990,139990,139990,139990,139990,119990,119990,119990,119990,119990,119990,119990,139990,139990,139990,139990,139990,139990,119990,119990,119990,119990,119990,119990,119990,139990,139990,139990,139990,139990,139990,159990,,119990,119990,119990,119990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89990,89990,89990,94880,89990,94880,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,94880,89990,89990,94880,94880,89990,94880,89990,89990,89990,89990,89990,94880,89990,89990,89990,89990,94880,89990,89990,89990,89990
