id,name,price,today,diff price,diff percent,processor,screen,capacity,phone connet,so,url,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
85892,Amazon Fire HD 10 2019 (32 GB / Negro),96101,59990,-36111,38,MediaTek MT8183 (2000 MHz),"10.1"" (1920x1200)",32 GB,No,Fire OS 7.3,https://www.solotodo.cl/products/85892-amazon-fire-hd-10-2019-32-gb-negro,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,109990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59990,59990,59990,59990,59990,59990
108122,Lenovo Tab M10 FHD Plus (2nd Gen) (TB-X606X) [ZA5V0181CL],149027,99990,-49037,33,MediaTek Helio P22T (MT6762) (2300 MHz),"10,3"" (1920x1200)",32 GB,4G,"Android 9.0 ""Pie""",https://www.solotodo.cl/products/108122-lenovo-tab-m10-fhd-plus-2nd-gen-tb-x606x-za5v0181cl,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,179990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,159990,149990,149990,149990,149990,149990,159990,149990,149990,149990,149990,149990,149990,139990,139990,139990,139990,139990,139990,139990,139990,139990,149990,149990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,129990,129990,129990,129990,129990,129990,119990,119990,119990,119990,119990,119990,119990,119990,119990,89990,89990,89990,99990,99990,99990,99990,99990,99990,99990,99990,99990
65464,Samsung Galaxy Tab A 8.0 2019 LTE (T295 / Carbon Black) [SM-T295NZKACHO],133878,99990,-33888,25,Qualcomm Snapdragon 429 (SDM429) (2000 MHz),"8.0"" (1280x800)",32 GB,4G,"Android 9.0 ""Pie""",https://www.solotodo.cl/products/65464-samsung-galaxy-tab-a-80-2019-lte-t295-carbon-black-sm-t295nzkacho,99990,99990,139680,99990,99990,139680,139680,139680,139680,139680,139680,139680,139680,139680,139874,139874,139874,139874,139874,139874,139874,142380,142380,142380,142380,142380,142380,142380,142380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138067,,,,,,,,,,,,,,,,,,,,,,,,,,139990,139990,139990,,,,,,,,,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,134990,134990,139990,139990,139990,134980,134980,99990,99990,99990,99990,99990,99990
91898,Amazon Kindle Fire HD 8 (32 GB / White),106875,80990,-25885,24,MediaTek MT8163 (1300 MHz),"8.0"" (1280x800)",32 GB,No,"Fire OS 5.0 ""Bellini""",https://www.solotodo.cl/products/91898-amazon-kindle-fire-hd-8-32-gb-white,88990,88990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,106990,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129990,129990,129990,104900,104900,104900,104900,104900,104900,104900,104900,104900,104900,104900,129900,129900,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,129990,96990,96990,96990,96990,96990,96990,96990,129900,96990,96990,96990,96990,96990,96990,96990,75990,75990,75990,75990,75990,75990,75990,75990,80990,129990,80990,129990,80990,128900,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,84900,84900,84900,84900,80990,80990,80990,80990,80990,80990
77973,Samsung Galaxy Tab S6 (T860 / Gris) [SM-T860NZAACHO],568225,449990,-118235,21,Qualcomm Snapdragon 855 (2840 MHz),"10.5"" (2560x1600)",128 GB,No,"Android 9.0 ""Pie""",https://www.solotodo.cl/products/77973-samsung-galaxy-tab-s6-t860-gris-sm-t860nzaacho,,,,,,,,,,,,,,,,,749990,749990,749990,749990,749990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,739990,739990,739990,739990,739990,739990,739990,739990,739990,599990,599990,599990,599990,599990,599990,599990,599990,579990,579990,579990,579990,579990,579990,579990,579990,579990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990
113554,Lenovo Tab M7 (TB-7305X) [ZA570014CL],62331,49990,-12341,20,MediaTek MT8765 (1300 MHz),"7.0"" (1024x600)",16 GB,4G,"Android 9.0 ""Pie""",https://www.solotodo.cl/products/113554-lenovo-tab-m7-tb-7305x-za570014cl,75990,75990,75990,75990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,75990,75990,74990,74990,74990,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,75990,69990,69990,69990,69990,75990,75990,74990,74990,74990,74990,74990,74990,74990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990
85884,Lenovo Tab M7 (7305I / 16 GB / 1 GB / Platinum Gray) [ZA560024MX],86947,69990,-16957,20,MediaTek MT8321 (1300 MHz),"7.0"" (1024x600)",16 GB,3G,"Android 9.0 ""Pie""",https://www.solotodo.cl/products/85884-lenovo-tab-m7-7305i-16-gb-1-gb-platinum-gray-za560024mx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,,99990,99990,99990,99990,99990,99990,99990,79990,79990,79990,79990,79990,79990,79990,79990,79990,,,79990,79990,79990,79990,79990,99990,99990,99990,99990,99990,,,,,,,,,,,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,99990,99990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990
76010,Lenovo Tab M8 HD (2nd Gen) (TB-8505X) [ZA5H0070CL],85832,69990,-15842,18,MediaTek Helio A22 (MT6761) (2000 MHz),"8.0"" (1280x800)",16 GB,4G,"Android 9.0 ""Pie""",https://www.solotodo.cl/products/76010-lenovo-tab-m8-hd-2nd-gen-tb-8505x-za5h0070cl,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,94990,,,129990,99990,99990,,,,,,,,129990,129990,129990,129990,129990,129990,109990,109990,109990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990,,,,,,,,,,,,,,,99990,84990,84990,84990,79990,79990,79990,79990,84990,84990,84990,84990,84990,84990,84990,84990,,89990,89990,79990,79990,79990,79990,79990,79990,79990,79990,79990,,76459,75316,76759,75991,75991,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,62990,62990,62990,62990,69990,69990,69990,69990,69990,69990
137966,Apple iPad Air 10.9 2022 (Wi-Fi / 256 GB / Purple) [MME63CI/A],767799,649990,-117809,15,Apple M1 (3200 MHz),"10,9"" (2360x1640)",256 GB,No,iPadOS 15,https://www.solotodo.cl/products/137966-apple-ipad-air-109-2022-wi-fi-256-gb-purple-mme63cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767799,767799,767799,767799,767799,649990
81308,Apple iPad Pro 11.0 2020 (LTE / 1 TB / Space Gray) [MXE82CI/A],1177918,999990,-177928,15,Apple A12Z Bionic (2500 MHz),"11.0"" (2388x1668)",1024 GB,4G,iOS 13.4,https://www.solotodo.cl/products/81308-apple-ipad-pro-110-2020-lte-1-tb-space-gray-mxe82cia,,,,,,,,,,,,,,,,,,,,,,,,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990
114172,Samsung Galaxy Tab A7 Lite LTE (T225 / 32 GB / 3 GB / Silver) [SM-T225NZSACHO],117055,99990,-17065,15,MediaTek Helio P22T [MT8768T] (2300 MHz),"8,7"" (800x1340)",32 GB,4G,Android 11,https://www.solotodo.cl/products/114172-samsung-galaxy-tab-a7-lite-lte-t225-32-gb-3-gb-silver-sm-t225nzsacho,129990,129990,129990,149990,149990,149990,149990,149990,149990,,149990,,,169940,129990,129990,139990,129990,129990,129990,129990,129990,129990,139990,139990,139990,129990,129990,169990,169990,169990,139990,139990,139990,139990,139990,139990,129990,129990,141661,129990,129990,129990,129990,129990,129990,129990,129990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,119990,109990,109990,114990,114990,114990,114990,114990,109990,109990,109990,109990,109990,114990,119990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,89376,89376,89376,99990,99990,99990,99990,99990,99990,99990,99990,99990,95990,95990,99990,99990,99990,95990,99990,99990,99990,99990,99990,99990,99990,99990,107990,109990,109990,99990,99990,99990,99990,99990,99990,108788,108054,109990,109990,109990,109990,109990,109990,109990,109990,109990,99990,99990,99990,99990,99990,99990,99990
125054,Lenovo Yoga Tab 11 [ZA8X0024CL],315397,269990,-45407,14,MediaTek Helio G90T (2000 MHz),"11.0"" (1200x2000)",128 GB,4G,Android 11,https://www.solotodo.cl/products/125054-lenovo-yoga-tab-11-za8x0024cl,339990,339990,339990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,319990,319990,339990,319990,319990,319990,319990,319990,319990,319990,319990,319990,319990,299990,299990,299990,299990,299990,299990,309990,309990,309990,309990,309990,309990,309990,309990,309990,329990,329990,309990,309990,309990,309990,299990,299990,299990,299990,299990,299990,299990,299990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,309990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990,269990
130438,Samsung Galaxy Tab A8 10.5 2021 (LTE / 32 GB / Gray) + Keyboard Cover [SM-X205NZAWCHO],221742,189990,-31752,14,Unisoc T618 (2000 MHz),"10.5"" (1920x1200)",32 GB,4G,Android 11,https://www.solotodo.cl/products/130438-samsung-galaxy-tab-a8-105-2021-lte-32-gb-gray-keyboard-cover-sm-x205nzawcho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319990,319990,295461,300058,295220,285090,295390,282875,282860,282860,282840,282840,281233,273149,273149,274137,278110,277679,277441,259990,249990,249990,249990,249990,249990,249990,239990,239990,239990,239990,239990,239990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,219990,218259,209990,209990,209990,209990,209990,209990,209990,209990,199990,199990,197990,179990,179990,179990,179990,179990,189990,199990,199990,189990,189990,189990,199990,199490,199490,199490,199490,199490,199490,199490,199490,199490,179990,169990,169990,169990,169990,169990,169990,169990,169990,169990,169990,188025,188025,188025,199990,199990,199990,199990,189990,189990
119946,Lenovo Tab M7 3rd Gen [ZA8D0055CL],87457,74990,-12467,14,MediaTek MT8766 (2000 MHz),"7.0"" (1024x600)",32 GB,4G,Android 11,https://www.solotodo.cl/products/119946-lenovo-tab-m7-3rd-gen-za8d0055cl,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,96990,96990,96990,96990,96990,96990,96990,96990,96990,96990,96990,96990,96990,96990,96990,96990,96990,96990,89990,96990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,84990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,79990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990
84342,Apple iPad Pro 11.0 2020 (Wi-Fi / 1 TB / Space Gray) [MXDG2CI/A],1164365,999990,-164375,14,Apple A12Z Bionic (2500 MHz),"11.0"" (2388x1668)",1024 GB,No,iOS 13.4,https://www.solotodo.cl/products/84342-apple-ipad-pro-110-2020-wi-fi-1-tb-space-gray-mxdg2cia,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1279990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,,,,,1199990,1199990,1199990,,,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990
81808,Apple iPad Pro 12.9 2020 (4G / 256 GB / Silver) [MXF62CI/A],1159292,999990,-159302,14,Apple A12Z Bionic (2500 MHz),"12.9"" (2732x2048)",256 GB,4G,iOS 13.4,https://www.solotodo.cl/products/81808-apple-ipad-pro-129-2020-4g-256-gb-silver-mxf62cia,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,,,,1199990,1199990,1199990,,,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,1199990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990
85712,Lenovo Tab M7 (TB-7305X) [ZA570071CL],74944,64990,-9954,13,MediaTek MT8765 (1300 MHz),"7.0"" (1024x600)",16 GB,4G,"Android 9.0 ""Pie""",https://www.solotodo.cl/products/85712-lenovo-tab-m7-tb-7305x-za570071cl,,,,,,,,,,,,,,,,,,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,84990,84990,84990,,,,,,,,,79990,79990,79990,79990,79990,79990,79990,79990,84990,84990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,79990,74990,74990,,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,74990,,69990,69990,69990,69990,69990,69990,69990,74990,74990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,69990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990,64990
74376,Apple iPad 9.7 2018 (Wi-Fi / 32 GB / Space Gray) [MR7F2LL/A],287263,249990,-37273,13,Apple A10 Fusion (2330 MHz),"9.7"" (2048x1536)",32 GB,No,iOS 11.3,https://www.solotodo.cl/products/74376-apple-ipad-97-2018-wi-fi-32-gb-space-gray-mr7f2lla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,289990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249990,249990,249990,249990
