id,name,type,size,resolution,smartTV,url,price,today,diff price,diff percent,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22
107904,Samsung QN75QN85A,QLED,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/107904-samsung-qn75qn85a,1713893,1349990,-363903,21,1691990,1691990,1691990,1699990,1799990,1799990,1779990,1779990,1779990,1799990,1799990,1799990,1799990,1799990,1799990,1745990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1799990,1779990,1779990,1779990,1779990,1779990,1599990,1349990,1349990,1349990,1349990,1349990,1349990,1349990
123229,Samsung QN43QN90A,QLED,"43.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/123229-samsung-qn43qn90a,634506,519990,-114516,18,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,519990,519990,519990
106320,Samsung QN60Q60A,QLED,"60.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/106320-samsung-qn60q60a,577022,489990,-87032,15,512990,512990,512990,539990,539990,539990,589990,589990,589990,589990,589990,589990,589990,589990,589990,575990,566990,566990,566990,589990,589990,589990,589990,589990,589990,589990,589990,589990,579990,579990,579990,579990,579990,579990,589990,589990,589990,589990,589990,589990,589990,589990,589990,589990,589990,589990,589990,589990,589990,599990,599990,599990,599990,599990,599990,579990,579990,579990,579990,489990,489990,489990,489990
113740,LG 86QNED99SPA,QNED,"86,0""",8K Full Ultra HD (7680x4320),Sí,https://www.solotodo.cl/products/113740-lg-86qned99spa,4297555,3679990,-617565,14,4949990,4949990,4949990,4949990,4949990,4949990,4759990,4759990,4759990,4759990,4739990,4739990,4699990,4699990,4699990,4499990,4499990,4499990,4499990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,4699990,3999000,3699990,3699990,3699990,3699990,3699990,3699990,3699990,3699990,3699990,3699990,3699990,3699990,3699990,3679990,3679990,3679990,3679990,3679990,3679990,3679990,3679990,3679990,3669990,3669990,3669990,3679990
91231,Samsung QN55LST7TA,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/91231-samsung-qn55lst7ta,1861280,1599990,-261290,14,2099990,2099990,2099990,2099990,2099990,2099990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,2199990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990
78424,Samsung QN55LS01TA,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/78424-samsung-qn55ls01ta,711785,619990,-91795,13,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,,,,,,,,,,,,,,,,,,,,,,,,649990,639990,639990,619990,619990,619990,619990,619990,619990,619990,619990,619990,619990
80608,Samsung QN43LS03TA,QLED,"43.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/80608-samsung-qn43ls03ta,563524,499990,-63534,11,569990,569990,569990,559990,559990,559990,559990,559990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,574990,559990,519990,519990,519990,519990,519990,559990,559990,559990,559990,559990,559990,559990,559990,559990,559990,559990,559990,559990,559990,559990,559990,559990,,,,,559990,559990,499990
112132,Samsung QN55BWBRU,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/112132-samsung-qn55bwbru,732409,649990,-82419,11,779990,779990,729990,729990,729990,729990,719990,719990,779990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,699990,729990,679990,679990,679990,679990,679990,679990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,1099990,749990,649990,649990,649990
107908,Samsung QN65QN90A,QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/107908-samsung-qn65qn90a,1151280,1029990,-121290,11,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,1269990,1269990,1269990,1269990,1269990,1269990,1269990,1269990,1269990,1269990,1899990,1269990,1269990,1269990,1269990,1269990,1269990,1899990,1249990,1249990,1249990,1249990,1249990,1249990,1199990,1199990,1199990,1199990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1029990,1029990,1029990
104723,Samsung QN55Q60A,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/104723-samsung-qn55q60a,453700,409990,-43710,10,499990,499990,499990,499990,499990,499990,499990,419990,419990,489990,489990,489990,489990,489990,489990,489990,489990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,449990,439990,439990,439990,439990,449990,449990,449990,439990,439990,439990,439990,439990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,419990,419990,419990,409990
