id,name,type,power,washing capacity,drying capacity,door position,url,price,today,diff price,diff percent,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22,06/02/22,07/02/22,08/02/22,09/02/22,10/02/22,11/02/22,13/02/22,15/02/22,16/02/22,17/02/22,18/02/22,20/02/22,21/02/22,22/02/22,23/02/22,24/02/22,25/02/22,26/02/22,27/02/22,28/02/22,01/03/22,02/03/22,03/03/22,05/03/22,06/03/22,07/03/22,08/03/22,10/03/22,11/03/22,12/03/22,13/03/22,14/03/22,15/03/22,16/03/22,17/03/22,18/03/22,20/03/22,21/03/22,22/03/22,23/03/22,24/03/22,25/03/22,27/03/22,28/03/22,29/03/22,30/03/22,31/03/22,01/04/22,04/04/22,05/04/22,06/04/22,08/04/22,09/04/22,11/04/22,12/04/22,13/04/22,18/04/22,19/04/22,20/04/22,21/04/22,22/04/22,23/04/22,24/04/22,25/04/22,26/04/22,27/04/22,28/04/22,29/04/22,30/04/22,01/05/22,02/05/22,03/05/22,04/05/22,05/05/22,06/05/22,09/05/22,10/05/22,11/05/22,12/05/22,13/05/22,16/05/22,17/05/22,18/05/22,19/05/22,20/05/22,23/05/22
137927,Hisense WDQY1014,Lavadora y Secadora,Desconocido,10 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/137927-hisense-wdqy1014,502847,369990,-132857,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639990,639990,639990,489990,489990,489990,489990,449990,449990,449990,619990,449990,369990,369990,369990
135234,Midea MF100D110B/W,Lavadora y Secadora,Desconocido,11 kg.,8 kg.,Frontal,https://www.solotodo.cl/products/135234-midea-mf100d110bw,394990,349990,-45000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499990,499990,,,,,,,,,,,,,,,,,,,,,,,,359990,359990,379990,379990,379990,379990,359990,349990,349990
117619,Bosch WDU8H541ES,Lavadora y Secadora,Desconocido,10 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/117619-bosch-wdu8h541es,621409,569990,-51419,8,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,659990,649990,649990,649990,649990,649990,649990,649990,629990,629990,629990,584990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,629990,619990,599990,599990,599990,599990,599990,599990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,521990,579990,579990,579990,569990,512990,569990,569990,569990,569990,569990,569990,569990,569990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,579990,569990,569990,569990,569990,569990,569990,569990
68928,LG WD12VVC3S6C,Lavadora y Secadora,Desconocido,12 kg.,7 kg.,Frontal,https://www.solotodo.cl/products/68928-lg-wd12vvc3s6c,509098,469990,-39108,8,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,524990,524990,524990,524990,529990,529990,529990,524990,524990,524990,529990,529990,529990,499990,499990,499990,529990,539990,539990,539990,539990,539990,539990,529990,519990,519990,519990,519990,519990,519990,519990,519990,519990,511990,509990,509990,509990,509990,499990,499990,499990,519990,519990,519990,519990,519990,519990,503990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,519990,499990,499990,499990,518990,518990,518990,499990,499990,499990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,479990,589990,499990,559990,559990,559990,519990,499990,499990,499990,499990,499990,499990,539990,499990,499990,499990,499990,499990,499990,549990,499990,499990,489990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,469990,469990
81851,Galanz GLCWT610WEI14A,Lavadora y Secadora,1850 W.,10 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/81851-galanz-glcwt610wei14a,335564,309990,-25574,8,319990,319990,319990,429990,429990,429990,349990,349990,349990,349990,349990,349990,349990,349990,349990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,309990,309990,309990,309990,309990,309990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,314990,429990,399990,399990,369990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,349990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,349990,349990,349990,399990,399990,359990,359990,359990,359990,359990,359990,329990,329990,329990,329990,329990,329990,329990,359990,359990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,329990,309990,309990,309990,309990,309990,309990,309990,309990,309990,309990,309990,309990,309990,309990,309990,309990
91764,Bosch WDU28540ES,Lavadora y Secadora,2000 W.,10 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/91764-bosch-wdu28540es,756874,699990,-56884,8,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,729990,729990,749990,789990,789990,789990,789990,789990,789990,684990,684990,684990,789990,789990,684990,749990,729990,729990,729990,729990,729990,749990,749990,749990,749990,749990,749990,749990,749990,749990,789990,789990,789990,789990,729990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,729990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,789990,,,,,,,,,,,789990,789990,789990,789990,789990,789990,789990,599990,599990,599990,599990,599990,549990,549990,549990,549990,549990,549990,549990,699990,699990,699990,699990,699990,699990,699990
123162,Candy COW41065TW,Lavadora y Secadora,Desconocido,10 kg.,6 kg.,Frontal,https://www.solotodo.cl/products/123162-candy-cow41065tw,376760,349990,-26770,7,379990,379990,359990,359990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,399990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,379990,379990,379990,379990,379990,389990,379990,379990,379990,379990,379990,379990,379990,379990,379990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,389990,369990,369990,369990,369990,369990,369990,369990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,379990,389990,389990,379990,379990,379990,341990,379990,379990,379990,379990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,339990,359990,359990,359990,359990,359990,359990,359990,379990,379990,379990,379990,349990,349990,349990,349990,349990,349990,349990,349990
116107,LG WD14BVC2S6C,Lavadora y Secadora,Desconocido,14 kg.,8 kg.,Frontal,https://www.solotodo.cl/products/116107-lg-wd14bvc2s6c,692233,649990,-42243,6,679990,679990,679990,679990,679990,679990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,729990,729990,729990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,729990,739990,739990,739990,739990,739990,739990,739990,739990,739990,665990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,739990,719990,699990,699990,709990,699990,699990,699990,699990,699990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,649990,689990,689990,689990,689990,649990,649990,689990,689990,659990,659990,659990,659990,659990,659990,699990,699990,709990,679990,679990,649990,649990,649990,649990,649990,659990,649990,649990,649990,649990,649990,649990,649990,649990,659990,659990,659990,659990,659990,699990,699990,647991,647991,649990,649990,649990,649990
68927,LG WD12WVC4S6,Lavadora y Secadora,Desconocido,12 kg.,7 kg.,Frontal,https://www.solotodo.cl/products/68927-lg-wd12wvc4s6,465645,439990,-25655,6,419990,419990,419990,419990,419990,419990,419990,419990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,419990,499990,499990,499990,499990,499990,499990,499990,499990,499990,499990,469990,469990,469990,469990,499990,499990,499990,499990,519990,519990,419990,519990,519990,519990,519990,510990,509990,479990,479990,479990,479990,479990,469990,439990,439990,439990,419990,419990,419990,404990,429990,419990,419990,419990,419990,419990,419990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,429990,469991,469991,479990,479990,479990,489990,469991,469991,469991,479990,479990,479990,469991,469991,459990,459990,459990,459990,459990,459990,459990,459990,459990,459990,459990,459990,440990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,459990,459990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,469990,449990,449990,409990,409990,469990,469990,469990,429990,419990,419990,439990,439990
92827,LG WD15DG2S6,Lavadora y Secadora,Desconocido,15 kg.,8 kg.,Frontal,https://www.solotodo.cl/products/92827-lg-wd15dg2s6,726139,689990,-36149,5,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,719990,749990,739990,749990,749990,749990,749990,749990,739990,739990,739990,739990,739990,739990,739990,719990,719990,719990,719990,719990,719990,749990,749990,749990,749990,719990,719990,719990,719990,719990,719990,739990,719990,739990,879990,719990,719990,719990,719990,719990,719990,729990,729990,729990,729990,729990,719990,719990,729990,769990,769990,769990,769990,769990,769990,769990,759990,759990,759990,759990,759990,759990,739990,739990,739990,739990,759990,759990,759990,759990,759990,759990,759990,759990,649990,729990,729990,729990,729990,729990,649990,649990,649990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,729990,679990,729990,729990,729990,739990,739990,739990,739990,739990,739990,739990,739990,739990,729990,729990,689990,679990,679990,679990,679990,679990,679990,679990,679990,679990,679990,689990,679990,679990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990,689990
