id,notebook,name,score,price,diff price,ram,screen,graphic card,hard drive,link,21/10/21,25/10/21,26/10/21,28/10/21,29/10/21,02/11/21,03/11/21
107099,ASUS ROG Strix G513QM-HF276T,AMD Ryzen 9 5900HX,24001,1455704,55714,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 300 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/107099-asus-rog-strix-g513qm-hf276t,1499990,1499990,1499990,1489990,1399990,1399990,1399990
98980,ASUS ROG Zephyrus Duo SE GX551QS-HB157T [90NR04N1-M03550],AMD Ryzen 9 5900HX,24001,3879990,0,32 GB DDR4 (3200 MHz),"LED 15.6"" (3840x2160) / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3080 (16 GB)",SSD 2TB,https://www.solotodo.cl/products/98980-asus-rog-zephyrus-duo-se-gx551qs-hb157t-90nr04n1-m03550,3879990,3879990,3879990,3879990,3879990,3879990,3879990
118699,ASUS ROG Strix G713QM-ES94,AMD Ryzen 9 5900HX,24001,1850000,,16 GB DDR4 (3200 MHz),"LED 17.3"" (1920x1080) / 144 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/118699-asus-rog-strix-g713qm-es94,,1850000,1850000,1850000,1850000,,
110916,ASUS ROG Strix G15 G513QR-HF195T [90NR0562-M04900],AMD Ryzen 9 5900HX,24001,2099990,0,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 300 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3070 (8 GB)",SSD 1TB,https://www.solotodo.cl/products/110916-asus-rog-strix-g15-g513qr-hf195t-90nr0562-m04900,2099990,2099990,2099990,2099990,2099990,2099990,2099990
108689,Lenovo Legion 7 16ACHg6 [82N6007LCL],AMD Ryzen 9 5900HX,24001,2799990,0,32 GB DDR4 (3200 MHz),"LED 16.0"" (2560x1600) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3080 (16 GB)",SSD 1TB,https://www.solotodo.cl/products/108689-lenovo-legion-7-16achg6-82n6007lcl,,,,,,2799990,2799990
117042,ASUS ROG STRIX G17 G713QR-K4031T [90NR05J2-M00600],AMD Ryzen 9 5900HX,24001,2230990,0,16 GB DDR4 (3200 MHz),"LED 17.3"" (2560x1440) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3070 (8 GB)",SSD 1TB,https://www.solotodo.cl/products/117042-asus-rog-strix-g17-g713qr-k4031t-90nr05j2-m00600,,,,,,2230990,2230990
122313,ASUS ROG Strix G15 G513QY-HF014T,AMD Ryzen 9 5900HX,24001,1971418,21428,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 300 Hz","AMD Radeon RX Vega 8 (Integrada)
AMD Radeon RX 6800M (12 GB)",SSD 1TB,https://www.solotodo.cl/products/122313-asus-rog-strix-g15-g513qy-hf014t,2099990,1949990,1949990,1949990,1949990,1949990,1949990
117043,ASUS ROG Zephyrus G14 GA401QM-K2120T [90NR05S6-M06790],AMD Ryzen 9 5900HS,23101,1899990,0,16 GB DDR4 (3200 MHz),"LED 14.0"" (2560x1440) / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 1TB,https://www.solotodo.cl/products/117043-asus-rog-zephyrus-g14-ga401qm-k2120t-90nr05s6-m06790,1899990,1899990,1899990,1899990,1899990,1899990,1899990
112809,ASUS ROG Zephyrus G14 GA401QM-K2120,AMD Ryzen 9 5900HS,23101,1883323,83333,16 GB DDR4 (3200 MHz),"LED 14.0"" (2160x1440) / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 1TB,https://www.solotodo.cl/products/112809-asus-rog-zephyrus-g14-ga401qm-k2120,,1899990,1899990,1899990,1899990,1899990,1799990
114038,ASUS ROG Flow X13 GV301QH-K6291T [90NR06C5-M07560],AMD Ryzen 9 5980HS,23007,2685704,-14286,16 GB LPDDR4X (4266 MHz),"LED 13.4"" (1920x1200) táctil / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3080 (16 GB)",SSD 1TB,https://www.solotodo.cl/products/114038-asus-rog-flow-x13-gv301qh-k6291t-90nr06c5-m07560,2599990,2699990,2699990,2699990,2699990,2699990,2699990
123697,ASUS ROG Flow X13 GV301QH-K6231T,AMD Ryzen 9 5980HS,23007,3239990,40000,32 GB LPDDR4X (4266 MHz),"LED 13.4"" (1920x1200) táctil / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB)",SSD 1TB,https://www.solotodo.cl/products/123697-asus-rog-flow-x13-gv301qh-k6231t,,,3299990,3299990,3199990,3199990,3199990
119864,ASUS ROG Zephyrus Duo SE GX551QS-HB261T,AMD Ryzen 9 5980HS,23007,3799990,0,32 GB DDR4 (3200 MHz),"LED 15.6"" (3840x2160) / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3080 (16 GB)",SSD 2TB,https://www.solotodo.cl/products/119864-asus-rog-zephyrus-duo-se-gx551qs-hb261t,,,,,3799990,3799990,3799990
120068,ASUS ROG Zephyrus G14 GA401QC (Ryzen 7 5800HS / 16GB / 512GB SSD / RTX 3050 4GB / 120Hz / W10H),AMD Ryzen 7 5800HS,22083,1050000,0,16 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3050 (4 GB)",SSD 512GB,https://www.solotodo.cl/products/120068-asus-rog-zephyrus-g14-ga401qc-ryzen-7-5800hs-16gb-512gb-ssd-rtx-3050-4gb-120hz-w10h,1050000,1050000,1050000,1050000,1050000,1050000,1050000
123785,ASUS ROG Zephyrus G14 GA401QC-K2148T [90NR05T3-M02420],AMD Ryzen 7 5800HS,22083,1324990,25000,16 GB DDR4 (3200 MHz),"LED 14.0"" (2560x1440) / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3050 (4 GB)",SSD 512GB,https://www.solotodo.cl/products/123785-asus-rog-zephyrus-g14-ga401qc-k2148t-90nr05t3-m02420,,,,1399990,1299990,1299990,1299990
113914,ASUS ROG Zephyrus G14 GA401QC-HZ023T [90NR05T2-M00390],AMD Ryzen 7 5800HS,22083,1247132,47142,16 GB DDR4 (3200 MHz),"LED 14.0"" (1920x1080) / 144 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3050 (4 GB)",SSD 512GB,https://www.solotodo.cl/products/113914-asus-rog-zephyrus-g14-ga401qc-hz023t-90nr05t2-m00390,1299990,1209990,1209990,1209990,1299990,1299990,1199990
120920,HP Omen 15Z-EN100 [2L1F4AV-R71],AMD Ryzen 7 5800H,22014,2199000,,16 GB DDR4 (3200 MHz),"LED 15.6"" (2560x1440) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3070 (8 GB)",SSD 512GB,https://www.solotodo.cl/products/120920-hp-omen-15z-en100-2l1f4av-r71,2199000,2199000,2199000,,,,
121315,Lenovo Legion S7 15ACH6 [82K8005KCL],AMD Ryzen 7 5800H,22014,1899990,0,32 GB DDR4 (3200 MHz),"LED 15.6"" (3840x2160) / 60 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/121315-lenovo-legion-s7-15ach6-82k8005kcl,1899990,1899990,1899990,1899990,1899990,1899990,1899990
119797,Lenovo Legion 5 15ACH6H [82JU00BHCL],AMD Ryzen 7 5800H,22014,1514275,214285,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/119797-lenovo-legion-5-15ach6h-82ju00bhcl,1599990,1599990,1599990,1599990,1599990,1299990,1299990
118427,Dell Alienware M15 R5 (Ryzen 7 5800H / 16 GB / SSD 512 GB),AMD Ryzen 7 5800H,22014,1719000,0,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/118427-dell-alienware-m15-r5-ryzen-7-5800h-16-gb-ssd-512-gb,1719000,1719000,1719000,1719000,1719000,1719000,1719000
117093,Lenovo Legion 5 Pro 16ACH6H [82JQ00CACL],AMD Ryzen 7 5800H,22014,1585704,85714,16 GB DDR4 (3200 MHz),"LED 16.0"" (2560x1600) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/117093-lenovo-legion-5-pro-16ach6h-82jq00cacl,1699990,1599990,1599990,1599990,1599990,1499990,1499990
122275,Lenovo IdeaPad 5 Pro 16ACH6 [82L5001QCL],AMD Ryzen 7 5800H,22014,1108323,-1667,16 GB DDR4 (3200 MHz),"LED 16.0"" (2560x1600) / 120 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB)",SSD 1TB,https://www.solotodo.cl/products/122275-lenovo-ideapad-5-pro-16ach6-82l5001qcl,1099990,1109990,1109990,1109990,1109990,,1109990
115352,Lenovo Legion 5 15ACH6H [82JU00BGCL],AMD Ryzen 7 5800H,22014,1367132,-2858,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 1TB,https://www.solotodo.cl/products/115352-lenovo-legion-5-15ach6h-82ju00bgcl,1349990,1369990,1369990,1369990,1369990,1369990,1369990
122580,HP Omen 16-C0502LA [4A143LA],AMD Ryzen 7 5800H,22014,1299990,0,8 GB DDR4 (3200 MHz),"LED 16.1"" (1920x1080) / 60 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3050 (4 GB)",SSD 512GB,https://www.solotodo.cl/products/122580-hp-omen-16-c0502la-4a143la,1299990,1299990,1299990,1299990,1299990,1299990,1299990
123095,HP ProBook 445 G8 [3D2P7LT],AMD Ryzen 7 5800H,22014,1174648,15658,8 GB DDR4 (3200 MHz),"LED 14.0"" (1366x768) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/123095-hp-probook-445-g8-3d2p7lt,1106990,1106990,1106990,1424598,1158990,1158990,1158990
118141,Lenovo Legion 5 15ACH6 [82JW0012US],AMD Ryzen 7 5800H,22014,1399990,0,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 165 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/118141-lenovo-legion-5-15ach6-82jw0012us,1399990,1399990,1399990,1399990,1399990,1399990,1399990
122699,MSI Pulse GL76 11UEK (i7-11800H / 16GB / 512GB SSD / RTX 3060 6GB / 60Hz),Intel Core i7-11800H,20633,1743390,,16 GB DDR4 (3200 MHz),"LED 17.3"" (1920x1080) / 60 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/122699-msi-pulse-gl76-11uek-i7-11800h-16gb-512gb-ssd-rtx-3060-6gb-60hz,1752490,1756490,1738990,1733990,1734990,,
113918,MSI Pulse GL76 11UEK (i7-11800H / 16GB / 512GB SSD / RTX 3060 6GB / 144Hz),Intel Core i7-11800H,20633,1771638,4648,16 GB DDR4 (3200 MHz),"LED 17.3"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/113918-msi-pulse-gl76-11uek-i7-11800h-16gb-512gb-ssd-rtx-3060-6gb-144hz,1799990,1756440,1756440,,1782980,1766990,1766990
124120,MSI Katana GF66 11UE-031 (i7-11800H / 16GB / 1 TB SSD / RTX 3060 6GB / 144Hz / W10H) [GF66031],Intel Core i7-11800H,20633,1499900,0,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 1TB,https://www.solotodo.cl/products/124120-msi-katana-gf66-11ue-031-i7-11800h-16gb-1-tb-ssd-rtx-3060-6gb-144hz-w10h-gf66031,,,,,,1499900,1499900
123839,Dell Alienware M15 R6 (Intel i7 11800H / RTX 3060 6GB / 16 GB / 512 SSD / 165 Hz),Intel Core i7-11800H,20633,1690000,0,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 165 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/123839-dell-alienware-m15-r6-intel-i7-11800h-rtx-3060-6gb-16-gb-512-ssd-165-hz,,,,1690000,1690000,1690000,1690000
114192,MSI Katana GF76 11UE (i7-11800H / 16GB / 512GB SSD / RTX 3060 6GB / 144Hz / W10H),Intel Core i7-11800H,20633,1669990,0,16 GB DDR4 (3200 MHz),"LED 17.3"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/114192-msi-katana-gf76-11ue-i7-11800h-16gb-512gb-ssd-rtx-3060-6gb-144hz-w10h,,,,1669990,1669990,1669990,1669990
120916,Gigabyte Aero 15 OLED (i7-11800H / 16GB / 512GB SSD / RTX 3060 6GB / UHD / W10P) [KD-72US623SP],Intel Core i7-11800H,20633,1933323,33333,16 GB DDR4 (3200 MHz),"LED 15.6"" (3840x2160) / 60 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/120916-gigabyte-aero-15-oled-i7-11800h-16gb-512gb-ssd-rtx-3060-6gb-uhd-w10p-kd-72us623sp,,1949990,1949990,,,,1899990
122698,ASUS ROG Zephyrus M16 GU603HE-K8007T [90NR07C1-M00390],Intel Core i7-11800H,20633,1668561,38571,16 GB DDR4 (3200 MHz),"LED 16.0"" (2560x1600) / 165 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/122698-asus-rog-zephyrus-m16-gu603he-k8007t-90nr07c1-m00390,1697490,1697490,1697490,1697490,1629990,1629990,1629990
119082,Acer Aspire Nitro 5 AN517-54-768F-1 [NH.QC7AL.001.1],Intel Core i7-11800H,20633,1319990,0,16 GB DDR4 (2400 MHz),"LED 17.3"" (1920x1080) / 144 Hz","Intel UHD Graphics Xe 750 32EUs (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/119082-acer-aspire-nitro-5-an517-54-768f-1-nhqc7al0011,1319990,1319990,1319990,1319990,1319990,1319990,1319990
